id,Name,Gender,Status,Intake Date,Outcome Date,Age,Description,Found At,Rescue Partners,Interested?,scrape_date,Address,Located At,Phone Number,Website,url
A284709,Minnie Mouse,Spayed Female,Adopted,,2025/11/25,1 year,"spayed female, tan and white American Pit Bull Terrier",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A284709
A285359,Baby,Spayed Female,Returned to Owner,,2025/11/21,3 years old,"spayed female, white Poodle - Miniature",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A285359
A287900,Chico,Neutered Male,Available,2025/11/02,,1 year and 3 months old,"neutered male, brown and white American Pit Bull Terrier mix",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A287900
A289733,Tickle,Neutered Male,Adopted,,2025/11/22,1 year and 4 months old,"neutered male, chocolate and white American Pit Bull Terrier",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A289733
A292114,Merlin,Neutered Male,Adopted,,2025/11/20,1 year and 5 months old,"neutered male, white and gray American Pit Bull Terrier and Labrador Retriever",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A292114
A295400,Delia,Spayed Female,Available,2025/11/12,,11 months old,"spayed female, black and white American Pit Bull Terrier",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A295400
A299934,Candace,Spayed Female,Available,2025/11/12,,3 years old,"spayed female, brown brindle American Pit Bull Terrier","6000 Block S Damen Ave Chicago, Il 60636",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A299934
A300646,Mattoon,Neutered Male,Available,2025/11/16,,1 year and 6 months old,"neutered male, brown and white Labrador Retriever and Siberian Husky","5600 Block W Cortland St, Chicago, Il 60639",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A300646
A301318,Lilit,Spayed Female,Available,2025/11/20,,8 years old,"spayed female, gray American Pit Bull Terrier",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A301318
A301493,Flutter,Male,Available,2025/09/23,,My age is unknown,"male, gray and white American Pit Bull Terrier mix","1300 Block S Christiana Ave, Chicago, Il 60623",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A301493
A301634,Clifton,Male,Available,2025/09/25,,My age is unknown,"male, tan American Pit Bull Terrier","7900 Block S Wood St, Chicago Il 60620",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A301634
A301739,Pavel,Male,Available,2025/09/27,,My age is unknown,"male, black and tan Rottweiler mix","5600 Block S Francisco Ave, Chicago Il 60629",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A301739
A301765,Brynn,Female,Available,2025/09/28,,My age is unknown,"female, black and white Siberian Husky mix","5500 Block W Grand Ave, Chicago, Il 60639",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A301765
A301916,Pepperoni,Male,Available,2025/10/01,,My age is unknown,"male, black and white American Pit Bull Terrier","8800 Block S Euclid Ave, Chicago Il 60617",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A301916
A301927,Hollis,Female,Available,2025/10/01,,My age is unknown,"female, tan American Pit Bull Terrier","5900 Block S Bishop St, Chicago Il 60636",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A301927
A301929,Harvey,Neutered Male,Adopted,,2025/11/25,5 years old,"neutered male, tan American Pit Bull Terrier",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A301929
A301980,Milly,Spayed Female,Adopted,,2025/11/25,9 months old,"spayed female, white and brown American Pit Bull Terrier mix",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A301980
A302050,Philomena,Spayed Female,Adopted,,2025/11/20,2 years,"spayed female, apricot and white American Pit Bull Terrier",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302050
A302053,Betty,Spayed Female,Adopted,,2025/11/26,6 years old,"spayed female, brown brindle and white American Pit Bull Terrier",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302053
A302055,Macauley,Male,Available,2025/10/04,,My age is unknown,"male, brown merle Catahoula Leopard Hound and American Pit Bull Terrier","0 Block E 123Rd St, Chicago, Il 60628",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302055
A302138,Harry,Male,Available,2025/10/06,,2 years old,"male, brown American Pit Bull Terrier",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302138
A302151,Cyanne,Female,Available,2025/10/06,,11 months old,"female, gray American Pit Bull Terrier",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302151
A302200,Stapleton,Neutered Male,Available,2025/10/07,,3 years old,"neutered male, black and white American Pit Bull Terrier",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302200
A302238,Clara,Female,Available,2025/10/08,,My age is unknown,"female, gray and white American Pit Bull Terrier",1400 Block N,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302238
A302277,Ursula,Spayed Female,Adopted,,2025/11/21,1 year,"spayed female, brown and white American Pit Bull Terrier mix",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302277
A302313,Cayson,Male,Available,2025/10/09,,My age is unknown,"male, brown and white American Pit Bull Terrier","4700 Block S Ellis Ave, Chicago Il 60615",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302313
A302372,Enchantress,Female,Transferred to Tails Together Co,,2025/11/24,My age is unknown,"female, white and black American Pit Bull Terrier",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302372
A302421,Rue,Female,Available,2025/10/12,,My age is unknown,"female, gray tiger American Pit Bull Terrier","7500 Block S State St, Chicago Il 60620",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302421
A302448,Brixton,Male,Available,2025/10/12,,My age is unknown,"male, tan American Pit Bull Terrier","2800 Block S Throop Stchicago, Il 60608",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302448
A302449,Herringbone,Female,Available,2025/10/12,,My age is unknown,"female, brown and white American Pit Bull Terrier",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302449
A302476,Kree,Female,Available,2025/10/13,,5 years old,"female, gray and white American Pit Bull Terrier",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302476
A302504,Gossett,Male,Available,2025/10/13,,2 years old,"male, gray and white American Pit Bull Terrier",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302504
A302529,Indigo,Female,Available,2025/10/14,,My age is unknown,"female, tan American Pit Bull Terrier","8400 Block S Escanaba Ave, Chicago Il 60617",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302529
A302734,Meli,Spayed Female,Adopted,,2025/11/20,7 years old,"spayed female, blue American Pit Bull Terrier",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302734
A302758,Reef,Neutered Male,Adopted,,2025/11/22,1 year and 2 months old,"neutered male, black and brown American Pit Bull Terrier",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302758
A302781,Joelle,Female,Available,2025/10/18,,My age is unknown,"female, white and black American Pit Bull Terrier","4700 Block S Wentworth Ave, Chicago Il 60609",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302781
A302811,Desdemona,Female,Available,2025/10/19,,2 years old,"female, gray and white American Pit Bull Terrier","5800 Block S Halsted Ave Chicago, Il 60621",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302811
A302847,May,Spayed Female,Adopted,,2025/11/25,7 years old,"spayed female, gray and white American Pit Bull Terrier",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302847
A302878,Russette,Female,Available,2025/10/20,,My age is unknown,"female, brown American Pit Bull Terrier",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302878
A302892,Chesney,Female,Available,2025/10/21,,My age is unknown,"female, brown brindle Boxer","700 Block E 131St St, Calumet Park, Il 60827",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302892
A302893,Abbey,Female,Available,2025/10/21,,My age is unknown,"female, tan American Pit Bull Terrier",11500 Block S Troop St Chicago Il 60643,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302893
A302903,Simone,Spayed Female,Available,2025/10/21,,1 year,"spayed female, gray and white American Pit Bull Terrier",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302903
A302998,Dodger,Male,Available,2025/10/22,,My age is unknown,"male, gray Mastiff mix","5900 Block S Racine Ave, Chicago Il 60621",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A302998
A303040,Winnebago,Neutered Male,Available,2025/11/09,,10 months old,"neutered male, brown brindle American Pit Bull Terrier",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303040
A303045,Ottawa,Male,Available,2025/10/23,,My age is unknown,"male, black and white Alaskan Malamute","7600 Block S Union Ave, Chicago Il 60620",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303045
A303056,Unknown,Male,Available,2025/10/24,,My age is unknown,"male, black and white Chihuahua - Smooth Coated","6300 Block S Calumet Ave, Chicago, Il 60637",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303056
A303057,Bessie,Spayed Female,Available,2025/10/24,,4 years old,"spayed female, gray and white American Pit Bull Terrier",Kelly Park Archer/California,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303057
A303066,Tullie,Spayed Female,Adopted,,2025/11/21,1 year,"spayed female, brown brindle American Pit Bull Terrier",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303066
A303073,Tennessee,Female,Available,2025/10/24,,My age is unknown,"female, tan and white American Pit Bull Terrier","5200 Block W Quincy St, Chicago, Il 60644",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303073
A303085,Wonder Bread,Male,Available,2025/10/24,,My age is unknown,"male, black and white American Pit Bull Terrier","6100 Block S Artesian Ave, Chicago Il 60629",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303085
A303122,Wisp,Female,Available,2025/10/25,,My age is unknown,"female, tan American Pit Bull Terrier","7000 Block S Cottage Grove Chicago, Il 60637",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303122
A303127,Poe,Neutered Male,Adopted,,2025/11/25,3 years old,"neutered male, gray and white American Staffordshire Terrier",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303127
A303132,Mitra,Female,Available,2025/10/25,,My age is unknown,"female, black and white American Pit Bull Terrier",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303132
A303136,Drogan,Neutered Male,Available,2025/10/25,,9 years old,"neutered male, gray and white Cane Corso mix",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303136
A303222,Luscious,Female,Available,2025/10/27,,My age is unknown,"female, gray and white American Pit Bull Terrier mix",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303222
A303250,Dracula,Male,Available,2025/10/27,,My age is unknown,"male, gray and white American Pit Bull Terrier","100 Block W 112Th Pl Chicago, Il 60628",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303250
A303265,Avril,Female,Available,2025/10/28,,1 year and 1 month old,"female, black and white American Pit Bull Terrier","8300 Block S Francisco Ave, Chicago, Il 60652",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303265
A303294,Brisko,Neutered Male,Available,2025/11/18,,7 years old,"neutered male, chocolate and white American Pit Bull Terrier",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303294
A303318,Jazzie,Female,Available,2025/10/29,,My age is unknown,"female, brown brindle and white American Pit Bull Terrier","0 Block W 77Th Pl, Chicago, Il 60620",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303318
A303357,Callista,Female,Available,2025/10/29,,My age is unknown,"female, white American Pit Bull Terrier","6500 Block S Ashland Ave, Chicago Il 60636",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303357
A303359,Elowen,Female,Available,2025/10/30,,2 years old,"female, fawn American Pit Bull Terrier","7300 Block S Aberdeen St, Chicago, Il 60621",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303359
A303373,Chia,Female,Available,2025/10/30,,1 year and 5 months old,"female, black and white Labrador Retriever mix",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303373
A303374,Crosby,Male,Available,2025/10/30,,1 year and 5 months old,"male, brown and white Labrador Retriever mix",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303374
A303389,Bailey,Female,Available,2025/10/30,,4 years old,"female, black and white American Pit Bull Terrier mix",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303389
A303416,Ridley,Female,Available,2025/10/31,,1 year and 4 months old,"female, black Labrador Retriever",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303416
A303417,Orin,Male,Available,2025/10/31,,6 months old,"male, white and brown brindle American Pit Bull Terrier",,,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303417
A303432,Ramen Noodles,Male,Transferred to Mit Liebe German Shepherd Dog Rescue,,2025/11/23,My age is unknown,"male, black and brown German Shepherd Dog",,,Please take a look at some of my other buddies in the shelter,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303432
A303434,Salina,Female,Available,2025/11/01,,My age is unknown,"female, black and white American Pit Bull Terrier","6500 Block S Sangamon St, Chicago, Il 60621",,Visit the shelter 12 to 6 pm daily,2025-11-26,"2741 South Western AvenueChicago, IL 60608",Chicago Animal Care and Control,(312) 747-1406,https://cityofchicago.org/cacc,https://24petconnect.com/chgoall/Details/CHGO/A303434
